Name,Parent,Level,Location,Status,CIK
"CHARTER BROKERAGE HOLDINGS, LLC",BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
CHARTER BROKERAGE LLC,BERKSHIRE HATHAWAY INC,1,New York,"(1, 'Company is not in SEC/Name Misspelled')",
CHEMTOOL INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
CLAYTON HOMES INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(0, 'Success')",719547
CLAYTON PROPERTIES GROUP II INC,BERKSHIRE HATHAWAY INC,1,Colorado,"(1, 'Company is not in SEC/Name Misspelled')",
CLAYTON PROPERTIES GROUP INC,BERKSHIRE HATHAWAY INC,1,Tennessee,"(1, 'Company is not in SEC/Name Misspelled')",
CMH CAPITAL INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
CMH HOMES INC,BERKSHIRE HATHAWAY INC,1,Tennessee,"(1, 'Company is not in SEC/Name Misspelled')",
CMH MANUFACTURING INC,BERKSHIRE HATHAWAY INC,1,Tennessee,"(1, 'Company is not in SEC/Name Misspelled')",
COLUMBIA INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Nebraska,"(5, 'Cannot find EX-21.1 for Company')",764525
CONTINENTAL INDEMNITY CO,BERKSHIRE HATHAWAY INC,1,Iowa,"(1, 'Company is not in SEC/Name Misspelled')",
CORNELIUS INC,BERKSHIRE HATHAWAY INC,1,Minnesota,"(3, 'Return one result, better check what went wrong')",
CORT BUSINESS SERVICES CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(0, 'Success')",905401
CTB INTERNATIONAL CORP,BERKSHIRE HATHAWAY INC,1,Indiana,"(5, 'Cannot find EX-21.1 for Company')",1038005
CUBIC DESIGNS INC,BERKSHIRE HATHAWAY INC,1,Wisconsin,"(1, 'Company is not in SEC/Name Misspelled')",
CYPRESS INSURANCE CO,BERKSHIRE HATHAWAY INC,1,California,"(5, 'Cannot find EX-21.1 for Company')",1034533
DESIGNED METAL CONNECTIONS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
