Name,Parent,Level,Location,Status,CIK
PRIMUS INTERNATIONAL INC,BERKSHIRE HATHAWAY INC,1,Washington,"(1, 'Company is not in SEC/Name Misspelled')",
PRINCETON INSURANCE CO,BERKSHIRE HATHAWAY INC,1,New Jersey,"(1, 'Company is not in SEC/Name Misspelled')",
PROCOR LIMITED,BERKSHIRE HATHAWAY INC,1,Canada,"(4, 'Non-US Company')",
PROCRANE HOLDINGS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
PROCRANE INC,BERKSHIRE HATHAWAY INC,1,Canada,"(4, 'Non-US Company')",
R. C. WILLEY HOME FURNISHINGS,BERKSHIRE HATHAWAY INC,1,Utah,"(1, 'Company is not in SEC/Name Misspelled')",
RAILSPLITTER HOLDINGS CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
REDWOOD FIRE AND CASUALTY INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
RICHLINE GROUP INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
RSCC WIRE & CABLE LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
"RUSSELL BRANDS, LLC",BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
SAGER ELECTRICAL SUPPLY CO INC,BERKSHIRE HATHAWAY INC,1,Massachusetts,"(1, 'Company is not in SEC/Name Misspelled')",
SCHULLER GMBH,BERKSHIRE HATHAWAY INC,1,Germany,"(4, 'Non-US Company')",
SCOTT FETZER CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
SCOTT FETZER FINANCIAL GROUP INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
SEES CANDIES INC,BERKSHIRE HATHAWAY INC,1,California,"(1, 'Company is not in SEC/Name Misspelled')",
SEES CANDY SHOPS INC,BERKSHIRE HATHAWAY INC,1,California,"(1, 'Company is not in SEC/Name Misspelled')",
SHAW CONTRACT FLOORING SERVICES INC,BERKSHIRE HATHAWAY INC,1,Georgia,"(1, 'Company is not in SEC/Name Misspelled')",
SHAW INDUSTRIES GROUP INC,BERKSHIRE HATHAWAY INC,1,Georgia,"(1, 'Company is not in SEC/Name Misspelled')",
SHAW INDUSTRIES INC,BERKSHIRE HATHAWAY INC,1,Georgia,"(0, 'Success')",89498
SIERRA PACIFIC POWER CO,BERKSHIRE HATHAWAY INC,1,Nevada,"(0, 'Success')",90144
SÖFFT SHOE CO LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
SPECIAL METALS CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(0, 'Success')",1028965
"SPS TECHNOLOGIES, LLC",BERKSHIRE HATHAWAY INC,1,Pennsylvania,"(1, 'Company is not in SEC/Name Misspelled')",
STAR FURNITURE CO,BERKSHIRE HATHAWAY INC,1,Texas,"(1, 'Company is not in SEC/Name Misspelled')",
STERLING CRANE LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
TAEGUTEC LTD,BERKSHIRE HATHAWAY INC,1,Korea,"(4, 'Non-US Company')",
BUFFALO NEWS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
DURACELL CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
FECHHEIMER BROTHERS CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",1314724
LUBRIZOL CORP,BERKSHIRE HATHAWAY INC,1,Ohio,"(6, 'Cannot Parse EX 21')",60751
MARMON GROUP OF CANADA LTD,BERKSHIRE HATHAWAY INC,1,Canada,"(4, 'Non-US Company')",
MEDICAL PROTECTIVE CO,BERKSHIRE HATHAWAY INC,1,Indiana,"(3, 'Return one result, better check what went wrong')",
PAMPERED CHEF LTD,BERKSHIRE HATHAWAY INC,1,Illinois,"(1, 'Company is not in SEC/Name Misspelled')",
TITANIUM METALS CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(6, 'Cannot Parse EX 21')",1011657
TTI INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(2, 'Multiple search results found')",
TUNGALOY CORP,BERKSHIRE HATHAWAY INC,1,Japan,"(4, 'Non-US Company')",
U.S. INVESTMENT CORP,BERKSHIRE HATHAWAY INC,1,Pennsylvania,"(5, 'Cannot find EX-21.1 for Company')",1425157
U.S. UNDERWRITERS INSURANCE CO,BERKSHIRE HATHAWAY INC,1,North Dakota,"(4, 'Non-US Company')",
UNION TANK CAR CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(6, 'Cannot Parse EX 21')",100923
UNION UNDERWEAR CO INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",1086946
UNITED STATES LIABILITY INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Pennsylvania,"(1, 'Company is not in SEC/Name Misspelled')",
UTLX CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
VANDERBILT MORTGAGE AND FINANCE INC,BERKSHIRE HATHAWAY INC,1,Tennessee,"(3, 'Return one result, better check what went wrong')",
VANITY FAIR BRANDS LP,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
WARWICK INTERNATIONAL GROUP LIMITED,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
WEBB WHEEL PRODUCTS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
WELLS LAMONT LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
WESTGUARD INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Pennsylvania,"(1, 'Company is not in SEC/Name Misspelled')",
WORLD BOOK/SCOTT FETZER CO INC,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
WORLDWIDE CONTAINERS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
WPLG INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
WYMANGORDON CO,BERKSHIRE HATHAWAY INC,1,Massachusetts,"(1, 'Company is not in SEC/Name Misspelled')",
WYMAN-GORDON FORGINGS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
XTRA COMPANIES INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
XTRA CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(2, 'Multiple search results found')",
XTRA FINANCE CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",1401717
XTRA LEASE LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
XTRA LLC,BERKSHIRE HATHAWAY INC,1,Maine,"(2, 'Multiple search results found')",
YORKSHIRE ELECTRICITY GROUP PLC,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
YORKSHIRE POWER GROUP LIMITED,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
21ST MORTGAGE CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
